Cód.Ponto,Sist.Hidrico,Localização,Data Início,Data Fim,Município
CANO02001,Rio Canoas - UGRHI 04,"Ponte na Rodovia SP-340 que liga Mococa à Arceburgo, na divisa SP/MG.",2016-01-01,,MOCOCA
CANO02800,Rio Canoas - UGRHI 04,"Ponte na Rod. SP 338, em direção a Cajuru.",2016-01-01,,MOCOCA
CARM04400,Rio do Carmo,NA PONTE DA ROV. ANHANGUERA (SP-330) ALT. DO KM 416,2009-04-01,,ITUVERAVA
CARO02800,Rio Claro - UGRHI 03,Na captação da SABESP do Baixo Claro.,2000-09-28,,CARAGUATATUBA
CASC02050,Reservatório Cascata,"Reservatório Cascata, Manancial de captação de Marília, no Bairro Maria Isabel",2001-01-01,,MARILIA
CATA23850,Rio Catarina Moraes,"Pontilhão na Av. Penedo, 300.Em frente do final da Rua Rio Lago.",2015-10-01,,SÃO VICENTE
CAXO02800,Rio Cachoeira,Ponte sobre o Rio Cachoeira na estrada que liga a Rod. D. Pedro I a Piracaia.,2003-01-01,,BOM JESUS DOS PERDOES
CAYA04950,Dreno Cayaguava,"Na estrada da EMAE, cerca de 400 depois da Estação Automática da CETESB PINH 04105.",2020-01-01,,SÃO PAULO
CFUG02900,Canal de Fuga II da UHE Henry Borden,"Canal de fuga II da Usina Hidroelétrica Henry Borden, na saída da turbina da Usina Externa.",1977-01-01,,CUBATAO
CIPO00900,Ribeirão do Cipó,"Ponte R. Afonso Pena, cerca de 200m do cruzamento com a Av. Luza Corrêa, no bairro Cipó.",2009-01-01,,SÃO PAULO
CMDC02050,Rio Camanducaia,"Ponte no Distrito de Mostardas, Amparo",2003-01-01,,MONTE ALEGRE DO SUL
CMDC02100,Rio Camanducaia,"Ponte no Bairro Ponte Preta no acesso à Osato, em Monte A. do Sul.",2001-01-01,,MONTE ALEGRE DO SUL
CMDC02300,Rio Camanducaia,"Ponte na estrada de acesso ao bairro Climáticas da Bocaina, Km 136,8 da Rod. das Estâncias, a montante da captação de Amparo.",2000-01-01,,AMPARO
CMDC02400,Rio Camanducaia,"Ponte a jusante do Córrego do Mosquito na SP - 107, Rodovia que liga Pedreira a Santo Antônio da Posse.",2000-01-01,,AMPARO
